Teen ADHD-Linked Neural Imprint Screener (Ages 12–18),No.,Statement,Response Options (choose in Responses sheet),Q,Response (1-4),Unnamed: 2,Scale Legend,NEURAL,Hardwire,Items,Max per Item,Max Score,Actual Score,Percent,Client Summary – Hardwire Profile (Radar & Bar)
"Instructions:
Rate each statement from 1 to 4 using the dropdown in the 'Responses' sheet.
Scale: 1 = Strongly disagree, 2 = Somewhat disagree, 3 = Somewhat agree, 4 = Strongly agree.
After entering all 50 responses, go to the 'Report' sheet to see your Radar and Bar charts.

Notes for Coach (hidden mapping kept inside workbook):
- Each statement contributes to a Hardwire dimension (e.g., MOM, UP, LIB, etc.).
- Scores are simple sums across items mapped to each Hardwire.
- Color thresholds (you can adjust in 'Scores'):
   Green: <= 40% of max per Hardwire
   Yellow: 41%–70%
   Red: > 70%
",,,,,,,,,,,,,,,
"This questionnaire helps you notice patterns in how your brain focuses, manages energy, handles emotions, and responds to school and life demands. It links your answers to 16 Neural Imprint Patterns (like Mind Matters, Burned Out, Addictive Loops, Shattered Worth, etc.).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Important: This is NOT a diagnosis of ADHD. Only a qualified health professional (such as a psychologist, psychiatrist, or medical doctor) can diagnose ADHD. This tool is designed for self-reflection and coaching. It can highlight where you may benefit from support, strategies, or a professional assessment.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"How to answer:
• This is about YOU, not what others expect.
• There are no right or wrong answers.
• Answer honestly about how things are MOST of the time.
• Use the scale: 1 = Does not describe me at all, 4 = Describes me completely.",,,,,,,,,,,,,,,
,1.0,My mind often jumps from one thing to another when I’m supposed to be focusing.,,,,,,,,,,,,,
,2.0,"I start listening to a teacher or parent, but my thoughts drift away quickly.",,,,,,,,,,,,,
,3.0,"I forget what I was about to do, even when it was something important.",,,,,,,,,,,,,
,4.0,"In class, it feels like my brain is full of noise and it’s hard to hear the main point.",,,,,,,,,,,,,
,5.0,I make careless mistakes because I rush or don’t notice small details.,,,,,,,,,,,,,
,6.0,I often realise I didn’t hear instructions properly and feel lost afterwards.,,,,,,,,,,,,,
,7.0,"I understand things better when I can see or do them, not just listen to words.",,,,,,,,,,,,,
,8.0,"I can focus really well on things I find interesting, but almost switch off for boring tasks.",,,,,,,,,,,,,
,9.0,"I get good ideas quickly, but struggle to explain them step-by-step.",,,,,,,,,,,,,
,10.0,I often see creative or unusual solutions that others don’t think of.,,,,,,,,,,,,,
,11.0,Schoolwork drains my energy faster than it seems to drain other people’s energy.,,,,,,,,,,,,,
,12.0,I feel mentally tired after trying to concentrate for a short time.,,,,,,,,,,,,,
,13.0,"Keeping up with school, chores, and expectations feels exhausting for me.",,,,,,,,,,,,,
,14.0,I sometimes give up on tasks because my brain feels too tired to keep trying.,,,,,,,,,,,,,
,15.0,"When I’m bored, I automatically reach for my phone, games, or social media.",,,,,,,,,,,,,
,16.0,I often lose track of time when I’m online or gaming.,,,,,,,,,,,,,
,17.0,Doing homework feels almost impossible when my favourite apps or games are nearby.,,,,,,,,,,,,,
,18.0,"I use my phone or music to keep my brain busy, even when I should be resting.",,,,,,,,,,,,,
,19.0,"People have called me lazy, even when I’m actually struggling to focus.",,,,,,,,,,,,,
,20.0,"When I forget things or lose track, I feel like there’s something wrong with me.",,,,,,,,,,,,,
,21.0,I feel embarrassed about how disorganised I can be.,,,,,,,,,,,,,
,22.0,I sometimes think I’m stupid because my marks don’t show how hard I try.,,,,,,,,,,,,,
,23.0,I feel ashamed when adults compare me negatively to other learners.,,,,,,,,,,,,,
